filename,scene_label
pure_bio_0000.wav,0
pure_bio_0001.wav,0
pure_bio_0002.wav,0
pure_bio_0003.wav,0
pure_bio_0004.wav,0
pure_bio_0005.wav,0
pure_bio_0006.wav,0
pure_bio_0007.wav,0
pure_bio_0008.wav,0
pure_bio_0009.wav,0
pure_bio_0010.wav,0
pure_bio_0011.wav,0
pure_bio_0012.wav,0
pure_bio_0013.wav,0
pure_bio_0014.wav,0
pure_bio_0015.wav,0
pure_bio_0016.wav,0
pure_bio_0017.wav,0
pure_bio_0018.wav,0
pure_bio_0019.wav,0
pure_bio_0020.wav,0
pure_bio_0021.wav,0
pure_bio_0022.wav,0
pure_bio_0023.wav,0
pure_bio_0024.wav,0
pure_bio_0025.wav,0
pure_bio_0026.wav,0
pure_bio_0027.wav,0
pure_bio_0028.wav,0
pure_bio_0029.wav,0
pure_bio_0030.wav,0
pure_bio_0031.wav,0
pure_bio_0032.wav,0
pure_bio_0033.wav,0
pure_bio_0034.wav,0
pure_bio_0035.wav,0
pure_bio_0036.wav,0
pure_bio_0037.wav,0
pure_bio_0038.wav,0
pure_bio_0039.wav,0
pure_bio_0040.wav,0
pure_bio_0041.wav,0
pure_bio_0042.wav,0
pure_bio_0043.wav,0
pure_bio_0044.wav,0
pure_bio_0045.wav,0
pure_bio_0046.wav,0
pure_bio_0047.wav,0
pure_bio_0048.wav,0
pure_bio_0049.wav,0
pure_bio_0050.wav,0
pure_bio_0051.wav,0
pure_bio_0052.wav,0
pure_bio_0053.wav,0
pure_bio_0054.wav,0
pure_bio_0055.wav,0
pure_bio_0056.wav,0
pure_bio_0057.wav,0
pure_bio_0058.wav,0
pure_bio_0059.wav,0
pure_bio_0060.wav,0
pure_bio_0061.wav,0
pure_bio_0062.wav,0
pure_bio_0063.wav,0
pure_bio_0064.wav,0
pure_bio_0065.wav,0
pure_bio_0066.wav,0
pure_bio_0067.wav,0
pure_bio_0068.wav,0
pure_bio_0069.wav,0
pure_bio_0070.wav,0
pure_bio_0071.wav,0
pure_bio_0072.wav,0
pure_bio_0073.wav,0
pure_bio_0074.wav,0
pure_bio_0075.wav,0
pure_bio_0076.wav,0
pure_bio_0077.wav,0
pure_bio_0078.wav,0
pure_bio_0079.wav,0
pure_bio_0080.wav,0
pure_bio_0081.wav,0
pure_bio_0082.wav,0
pure_bio_0083.wav,0
pure_bio_0084.wav,0
pure_bio_0085.wav,0
pure_bio_0086.wav,0
pure_bio_0087.wav,0
pure_bio_0088.wav,0
pure_bio_0089.wav,0
pure_bio_0090.wav,0
pure_bio_0091.wav,0
pure_bio_0092.wav,0
pure_bio_0093.wav,0
pure_bio_0094.wav,0
pure_bio_0095.wav,0
pure_bio_0096.wav,0
pure_bio_0097.wav,0
pure_bio_0098.wav,0
pure_bio_0099.wav,0
pure_bio_0100.wav,0
pure_bio_0101.wav,0
pure_bio_0102.wav,0
pure_bio_0103.wav,0
pure_bio_0104.wav,0
pure_bio_0105.wav,0
pure_bio_0106.wav,0
pure_bio_0107.wav,0
pure_bio_0108.wav,0
pure_bio_0109.wav,0
pure_bio_0110.wav,0
pure_bio_0111.wav,0
pure_bio_0112.wav,0
pure_bio_0113.wav,0
pure_bio_0114.wav,0
pure_bio_0115.wav,0
pure_bio_0116.wav,0
pure_bio_0117.wav,0
pure_bio_0118.wav,0
pure_bio_0119.wav,0
pure_bio_0120.wav,0
pure_bio_0121.wav,0
