filename,scene_label,scene_name,bio_class,antro_class,geo_class,bio_proportion,antro_proportion,geo_proportion
scene0_bio_dominated_0000.wav,0,bio_dominated,crickets,drinking_sipping,sea_waves,0.790473573770917,0.15429542463239715,0.05523100159668589
scene0_bio_dominated_0001.wav,0,bio_dominated,breathing,engine,rain,0.8923570832675464,0.056492417306294264,0.05115049942615945
scene0_bio_dominated_0002.wav,0,bio_dominated,sheep,washing_machine,crackling_fire,0.8461805714276764,0.03661290648872483,0.11720652208359883
scene0_bio_dominated_0003.wav,0,bio_dominated,cow,pouring_water,thunderstorm,0.7148200537232106,0.10967188242456259,0.17550806385222667
scene0_bio_dominated_0004.wav,0,bio_dominated,sneezing,hand_saw,sea_waves,0.644034033601165,0.20921109049750608,0.146754875901329
scene0_bio_dominated_0005.wav,0,bio_dominated,crying_baby,door_wood_knock,wind,0.6875139020912377,0.2077512296039851,0.10473486830477732
scene0_bio_dominated_0006.wav,0,bio_dominated,crickets,door_wood_knock,wind,0.9249636866754036,0.008192704131849311,0.06684360919274712
scene0_bio_dominated_0007.wav,0,bio_dominated,crying_baby,glass_breaking,rain,0.7664266728327798,0.16237577244604431,0.07119755472117606
scene0_bio_dominated_0008.wav,0,bio_dominated,coughing,mouse_click,sea_waves,0.9703667666985518,0.007785655204148609,0.021847578097299557
scene0_bio_dominated_0009.wav,0,bio_dominated,clapping,siren,crackling_fire,0.9430762456702418,0.03480799837615314,0.022115755953605026
scene0_bio_dominated_0010.wav,0,bio_dominated,dog,glass_breaking,thunderstorm,0.7876241230946666,0.19891293345683742,0.013462943448496167
scene0_bio_dominated_0011.wav,0,bio_dominated,dog,train,water_drops,0.6406209952417827,0.18586378947063814,0.17351521528757896
scene0_bio_dominated_0012.wav,0,bio_dominated,pig,church_bells,wind,0.744516179196179,0.06448571189521675,0.1909981089086043
scene0_bio_dominated_0013.wav,0,bio_dominated,crickets,vacuum_cleaner,wind,0.7687825886056352,0.1094016919697792,0.1218157194245857
scene0_bio_dominated_0014.wav,0,bio_dominated,crow,siren,water_drops,0.6647334641989733,0.10813285208241624,0.22713368371861045
scene0_bio_dominated_0015.wav,0,bio_dominated,breathing,helicopter,crackling_fire,0.8091087481219212,0.12845228672323114,0.0624389651548476
scene0_bio_dominated_0016.wav,0,bio_dominated,crying_baby,clock_tick,thunderstorm,0.8771813885808286,0.015438770103892161,0.10737984131527908
scene0_bio_dominated_0017.wav,0,bio_dominated,frog,fireworks,rain,0.6863862917540647,0.13024884376761045,0.18336486447832484
scene0_bio_dominated_0018.wav,0,bio_dominated,pig,washing_machine,thunderstorm,0.8567657327242126,0.09695902340546102,0.04627524387032641
scene0_bio_dominated_0019.wav,0,bio_dominated,crow,can_opening,sea_waves,0.8942557531795992,0.07794705110118323,0.0277971957192174
scene0_bio_dominated_0020.wav,0,bio_dominated,breathing,engine,rain,0.9016711456848227,0.0918520051866472,0.0064768491285301915
scene0_bio_dominated_0021.wav,0,bio_dominated,cat,pouring_water,rain,0.951302709715172,0.019969427175120864,0.028727863109707295
scene0_bio_dominated_0022.wav,0,bio_dominated,crying_baby,fireworks,crackling_fire,0.7959049045822411,0.12296871816778365,0.08112637724997522
scene0_bio_dominated_0023.wav,0,bio_dominated,cow,toilet_flush,thunderstorm,0.5967301967768402,0.061150493161487636,0.3421193100616722
scene0_bio_dominated_0024.wav,0,bio_dominated,coughing,keyboard_typing,rain,0.5427556161233824,0.4245533372282159,0.032691046648401605
scene0_bio_dominated_0025.wav,0,bio_dominated,snoring,hand_saw,rain,0.8674009861072982,0.09796091053970453,0.03463810335299733
scene0_bio_dominated_0026.wav,0,bio_dominated,snoring,fireworks,wind,0.9045845705932024,0.05030113457098087,0.04511429483581667
scene0_bio_dominated_0027.wav,0,bio_dominated,hen,helicopter,rain,0.9260269892232919,0.05574702783202813,0.018225982944679957
scene0_bio_dominated_0028.wav,0,bio_dominated,laughing,helicopter,thunderstorm,0.7665402919074494,0.09216577447296458,0.141293933619586
scene0_bio_dominated_0029.wav,0,bio_dominated,sheep,siren,crackling_fire,0.9154762309805632,0.013037036913667529,0.07148673210576925
scene0_bio_dominated_0030.wav,0,bio_dominated,coughing,clock_tick,thunderstorm,0.7457648182452412,0.10116646583421861,0.1530687159205402
